pdf_id,stage,status,device,dtype,batch_size,wall_time_sec,compute_time_sec,transfer_time_sec,tokens_in,tokens_out,peak_ram_mb,peak_vram_mb
bb198a6952eb8f22,keywords,ok,cpu,fp32,1,18.75,18.75,,,,1938.7,0.0
bb198a6952eb8f22,classify,ok,cpu,fp32,1,10.54699999999957,10.54699999999957,,,,2465.1,0.0
bb198a6952eb8f22,context,ok,cpu,fp32,1,0.032000000000152795,0.032000000000152795,,,,2414.9,0.0
bb198a6952eb8f22,summarize,ok,cpu,fp32,1,5.686999999999898,5.686999999999898,,272,52,5123.3,0.0
df597cb84b8dfaa2,extract,ok,cpu,fp32,1,0.0,0.0,,,,828.1,0.0
df597cb84b8dfaa2,clean,ok,cpu,fp32,1,0.0,0.0,,,,828.2,0.0
df597cb84b8dfaa2,validate,ok,cpu,fp32,1,0.0,0.0,,,,828.3,0.0
e84e34383debe20b,extract,ok,cpu,fp32,1,0.01599999999962165,0.01599999999962165,,,,828.1,0.0
e84e34383debe20b,clean,ok,cpu,fp32,1,0.0,0.0,,,,828.2,0.0
e84e34383debe20b,validate,ok,cpu,fp32,1,0.01599999999962165,0.01599999999962165,,,,828.3,0.0
e84e34383debe20b,keywords,ok,cpu,fp32,1,1.3280000000004293,1.3280000000004293,,,,1875.5,0.0
e84e34383debe20b,classify,ok,cpu,fp32,1,2.8900000000003274,2.8900000000003274,,,,2452.1,0.0
e84e34383debe20b,context,ok,cpu,fp32,1,0.0,0.0,,,,2414.9,0.0
e84e34383debe20b,summarize,ok,cpu,fp32,1,3.2349999999996726,3.2349999999996726,,122,39,5126.9,0.0
